"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8"
"UBE4B",0.0864888080431973,0.152617791680584,0.138408646349165,0.159295358269351,0.0608669593238648,0.0867232279152447,0.197383364906069,0.0506975989617132,0
"KIF1B",0,0.0714298877389117,0.0354155610551271,0.0749285227539006,0,0.0930446757609467,0.0285091157897738,0.0674508957478955,0
"PGD",0.247556653895273,1.86535328618806,0.251029424843785,0.266087469877581,0.173633085016444,0.734607967298615,0.0741262972102012,0.831749667381281,3.25052840791578
"APITD1",0.0804347107375755,0.0125991678895657,0.051033180333716,0.0810072422151118,0.0695089928837509,0.0289368629849883,0.0717958375896306,0,0
"DFFA",0.141222389408959,0.220304407215011,0.157454580528792,0.201526151021922,0.210020456452245,0.269177746593099,0.270624382780286,0.199206076813988,0
"PEX14",0.0688794669138841,0.0467223869243879,0.129851922726735,0.103018679638323,0.0516960029543838,0.0476001503626754,0.130885551062118,0.0494775174160861,0
"CASZ1",0,0,0,0.0341394038140474,0.0344295663630457,0,0.0316255534471853,0.0513726779549564,0
"TARDBP",0.322470917197601,0.17264094438521,0.337741767362809,0.383781336829645,0.433685838374393,0.138402532090125,0.363512750211547,0.271112874901147,0
"RP4-635E18.8",0.0191443447132956,0.0114105492810213,0,0.025225028040529,0,0,0,0,0
"SRM",0.638548542581772,0.624470354714108,0.927453739345788,0.594132711906196,0.835389590467562,0.301290725683358,0.650213105828297,0.979114508555432,0.612201169304234
"EXOSC10",0.129955482163603,0.140079250893679,0.211748982565583,0.206687048023454,0.156107391401802,0.176748988944287,0.246599766865631,0.211680421196394,0
"MTOR",0.0406505457361177,0.0648438600154477,0.0563794301370139,0.0207748116519804,0.0371983526654277,0.0451669780364325,0.144327720814402,0,0
"UBIAD1",0.305758847330949,0.0735403065845918,0.417868186528987,0.167066583019446,0.181526642374162,0.0562153947026257,0.17547108523385,0.0568595342066958,0
"FBXO2",0.0463273464082205,0,0.0162940926970738,0.0158591202628808,0.0298404181095529,0,0.0974199085438744,0,0
"FBXO44",0.172042315042314,0.0183060785646103,0.153791743202931,0.187437530681816,0.234977216881256,0,0.356981334445354,0.0497611464968153,0
"FBXO6",0.0245817529527995,0.28257186847296,0.0987241381939724,0.205473716532539,0.333352725708047,0.342266643031144,1.2781484006427,0.840141391241316,0
"MAD2L2",0.25309018773847,0.393567417150079,0.334238557362884,0.287763629772302,0.44672352655944,0.425241287498758,1.26209539665165,0.406389563176038,0
"DRAXIN",0.0339886867032884,0.0184801826388694,0,0.0274243089074155,0,0,0.0665457751750986,0,0
"AGTRAP",0.246692615029473,2.36250636846007,0.291750271785097,0.200427972703658,0.2888426068723,1.64050415509916,0.89157951032576,0.177612725135325,0.726366836876046
"MTHFR",0.0458131410363028,0.201973938406612,0.0449591128598341,0.128865988457386,0.0599526449933862,0.11720307250072,0.246448322627766,0,0
"CLCN6",0.0060842054027744,0.0162884351407541,0.0497641959172573,0.112031509815613,0.0873860986604786,0.0612416701290897,0.107525103169194,0.134351430752442,0
"NPPA-AS1",0,0,0,0.0165263032642754,0,0,0,0,1.15961805582229
"KIAA2013",0.0190458535442285,0.258834765119832,0.0627727343788773,0.0709958010182636,0.0938274521359087,0.087686717253248,0.0332386033138888,0.21140291085801,0
