"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PGBD4",1.06378152503538e-06,2.76995435210654,0.062,0.004,0.0145886998343351,"7","PGBD4"
"C15orf38.1",1.06378152503538e-06,3.33423485422041,0.062,0.004,0.0145886998343351,"7","C15orf38"
"ZNF320",1.06378152503538e-06,2.70809547712826,0.062,0.004,0.0145886998343351,"7","ZNF320"
"C2CD2",1.06378152503538e-06,3.29440750750441,0.062,0.004,0.0145886998343351,"7","C2CD2"
"RMDN1",1.07485714335648e-06,1.61730319475544,0.219,0.039,0.0147405908639908,"7","RMDN1"
"SLC39A3",1.09390863629142e-06,1.75794086111711,0.281,0.06,0.0150018630381005,"7","SLC39A3"
"S100A10.5",1.12954009530079e-06,1.12578256664831,0.906,0.639,0.0154905128669551,"7","S100A10"
"TACC1.2",1.13654335158497e-06,1.13102282366182,0.312,0.071,0.0155865555236362,"7","TACC1"
"TMEM218",1.14658330564208e-06,1.24117804682068,0.219,0.039,0.0157242434535755,"7","TMEM218"
"SLC30A9",1.15626008870507e-06,1.63022203616363,0.156,0.022,0.0158569508565013,"7","SLC30A9"
"NUP210",1.18026041564426e-06,1.06913132302298,0.312,0.07,0.0161860913401454,"7","NUP210"
"SMNDC1",1.19908204197388e-06,1.62579553194184,0.219,0.04,0.0164442111236297,"7","SMNDC1"
"RPS27A.7",1.21177789473778e-06,-1.04945020705499,0.969,0.974,0.016618322048434,"7","RPS27A"
"RAB13.2",1.23498100185352e-06,2.52648136901975,0.125,0.015,0.0169365294594192,"7","RAB13"
"FTH1.7",1.25707786879029e-06,0.199982183735958,1,0.99,0.01723956589259,"7","FTH1"
"HMGN3.2",1.27567841504025e-06,0.924158836425957,0.688,0.233,0.0174946537838619,"7","HMGN3"
"DHX29.1",1.30258025176541e-06,1.17466404490447,0.281,0.059,0.0178635855727108,"7","DHX29"
"OAF.2",1.34854903610425e-06,3.38447041527905,0.094,0.009,0.0184940014811336,"7","OAF"
"VAMP3.4",1.36609760433395e-06,1.09866544978939,0.312,0.07,0.0187346625458358,"7","VAMP3"
"CPPED1.6",1.38247657444251e-06,1.36167913772136,0.375,0.1,0.0189592837419046,"7","CPPED1"
"TICAM1.2",1.41839924265307e-06,2.37325560866339,0.156,0.023,0.0194519272137441,"7","TICAM1"
"RAB31.7",1.42131633293464e-06,1.38441819817974,0.25,0.05,0.0194919321898656,"7","RAB31"
"C1orf162.7",1.4425903867553e-06,1.71480852974776,0.781,0.384,0.0197836845639622,"7","C1orf162"
"POLD2",1.482205008775e-06,0.877239091616789,0.281,0.059,0.0203269594903404,"7","POLD2"
"MAMDC4.2",1.48416611157333e-06,3.18778301946714,0.094,0.009,0.0203538540541166,"7","MAMDC4"
"FCHO1.1",1.50135816005611e-06,1.62243965500331,0.188,0.031,0.0205896258070094,"7","FCHO1"
"CEBPD.7",1.50668441752336e-06,0.942404301795756,0.625,0.22,0.0206626701019153,"7","CEBPD"
"ODF3B.7",1.51385193298369e-06,0.680427008640866,0.438,0.118,0.0207609654089383,"7","ODF3B"
"PTPRCAP.6",1.54769512246011e-06,-2.47161765894792,0.281,0.646,0.021225090909418,"7","PTPRCAP"
"TMSB10.5",1.55678838666525e-06,0.478131189885609,1,0.993,0.0213497959347272,"7","TMSB10"
"EIF6.3",1.62322222727591e-06,1.0000822380189,0.656,0.22,0.0222608696248618,"7","EIF6"
"RNF5.4",1.65019609227221e-06,0.867707698582252,0.5,0.143,0.022630789209421,"7","RNF5"
"ABI3.5",1.70790837050882e-06,1.02560120834186,0.531,0.173,0.023422255393158,"7","ABI3"
"BRE",1.72148997154496e-06,0.739337717698152,0.312,0.07,0.0236085134697676,"7","BRE"
"ATXN2",1.72928442158077e-06,1.76157324939459,0.188,0.031,0.0237154065575586,"7","ATXN2"
"GAPT.7",1.74637040471118e-06,1.21804843149815,0.281,0.061,0.0239497237302091,"7","GAPT"
"DAPP1.4",1.80630259663296e-06,0.905542669552007,0.281,0.06,0.0247716338102244,"7","DAPP1"
"GOLGA2",1.82782489467465e-06,1.85637294112884,0.156,0.023,0.0250667906055682,"7","GOLGA2"
"TRAPPC13",1.83579421317023e-06,1.82560375143509,0.156,0.023,0.0251760818394165,"7","TRAPPC13"
"ARL4C.6",1.88322614608628e-06,1.33033795069471,0.562,0.194,0.0258265633674272,"7","ARL4C"
"CNDP2.3",1.90494462591918e-06,2.87502768012911,0.375,0.097,0.0261244105998557,"7","CNDP2"
"HNRNPD",1.93225948964132e-06,1.00532260604679,0.406,0.106,0.0264990066409411,"7","HNRNPD"
"HDAC9.3",1.93943767904618e-06,1.50183165448888,0.125,0.015,0.0265974483304393,"7","HDAC9"
"WDFY4.1",1.93943783092435e-06,2.37036596607648,0.125,0.015,0.0265974504132966,"7","WDFY4"
"POM121.1",1.97412635907556e-06,1.46605793169038,0.219,0.041,0.0270731688883622,"7","POM121"
"PLIN3.3",1.98395149055948e-06,0.78572433149172,0.281,0.06,0.0272079107415327,"7","PLIN3"
"NDUFV1",2.04259199942569e-06,0.944737737123634,0.469,0.133,0.0280121066801239,"7","NDUFV1"
"PRELID1.5",2.0479496155135e-06,0.905577191263432,0.906,0.465,0.0280855810271521,"7","PRELID1"
"YIF1A.1",2.10402786979894e-06,1.05498597937867,0.375,0.095,0.0288546382064226,"7","YIF1A"
"EREG.3",2.11891256367766e-06,1.89239674531409,0.125,0.015,0.0290587668982755,"7","EREG"
"PRR14L.1",2.12995225904728e-06,2.21227976038866,0.125,0.015,0.0292101652805744,"7","PRR14L"
"MPC2.1",2.13534653126193e-06,0.509012296407957,0.531,0.155,0.0292841423297262,"7","MPC2"
"RAB4B.1",2.13673450105462e-06,0.894862277318948,0.312,0.072,0.0293031769474631,"7","RAB4B"
"NDUFA8.1",2.15852405865975e-06,0.779686363414696,0.5,0.143,0.0296019989404598,"7","NDUFA8"
"MYL6.5",2.16746914335017e-06,0.552078635894392,1,0.851,0.0297246718319043,"7","MYL6"
"LILRA2.6",2.18078277187182e-06,1.98158825268508,0.219,0.042,0.0299072549334502,"7","LILRA2"
"IFI44.3",2.20232477300209e-06,0.756997629531221,0.406,0.107,0.0302026819369507,"7","IFI44"
"NRDE2",2.23182678493735e-06,1.81211341115513,0.125,0.015,0.0306072725286308,"7","NRDE2"
"CDC23.1",2.26681287982605e-06,1.50987872053266,0.125,0.015,0.0310870718339345,"7","CDC23"
"LILRB2.7",2.29964030196306e-06,1.01733302575805,0.375,0.097,0.0315372671011214,"7","LILRB2"
"TSPAN4.5",2.33695015203568e-06,1.48075011380967,0.188,0.031,0.0320489343850173,"7","TSPAN4"
"SYNGR1.5",2.34062673804464e-06,1.75486677726004,0.188,0.032,0.0320993550855442,"7","SYNGR1"
"ACYP2",2.3941292638725e-06,1.58800192700794,0.281,0.063,0.0328330887247475,"7","ACYP2"
"RAB11A",2.45922413612259e-06,0.77399851082837,0.438,0.119,0.0337257998027852,"7","RAB11A"
"MRPL41.1",2.46769774748099e-06,1.06061325739592,0.5,0.153,0.0338420069089543,"7","MRPL41"
"IKBIP.3",2.47807642910692e-06,1.64646382331476,0.25,0.053,0.0339843401487722,"7","IKBIP"
"POLR1A",2.53213948980852e-06,3.05470587496292,0.094,0.009,0.0347257609632341,"7","POLR1A"
"LTB.7",2.59890907582143e-06,-2.58183120384807,0.5,0.706,0.0356414390658151,"7","LTB"
"FAM133B",2.61623783438181e-06,0.892577365426675,0.344,0.083,0.0358790856607122,"7","FAM133B"
"ETFA.2",2.61704927566723e-06,0.677639731324013,0.469,0.129,0.0358902137665004,"7","ETFA"
"ATP6V1E1.2",2.64051533723876e-06,1.03848768587425,0.531,0.167,0.0362120273348924,"7","ATP6V1E1"
"BLVRB.6",2.75795539287038e-06,0.986328836117108,0.5,0.158,0.0378226002578244,"7","BLVRB"
"LAMTOR2.5",2.78823138319055e-06,0.908378714656143,0.625,0.219,0.0382378051890752,"7","LAMTOR2"
"FAM20B",2.83973018520079e-06,2.57210356416027,0.094,0.009,0.0389440597598437,"7","FAM20B"
"CPM.1",2.87708473265965e-06,2.46652198237429,0.094,0.009,0.0394563400236945,"7","CPM"
"PRR11.1",2.87863325515633e-06,3.97233681628345,0.062,0.004,0.0394775764612139,"7","PRR11"
"ZDHHC2",2.89593835902358e-06,2.47843092618163,0.094,0.009,0.0397148986556494,"7","ZDHHC2"
"TFEB.6",2.92520201667901e-06,1.3538930874295,0.188,0.032,0.040116220456736,"7","TFEB"
"TP53I11.1",2.95321314059181e-06,2.18451843317811,0.094,0.009,0.0405003650100761,"7","TP53I11"
"PAXBP1",2.95321314059181e-06,2.09070066885039,0.094,0.009,0.0405003650100761,"7","PAXBP1"
"ZNF117",3.04525975135789e-06,3.70351354108574,0.062,0.004,0.0417626922301221,"7","ZNF117"
"ADAM28.4",3.06674893144403e-06,1.0550966543055,0.188,0.032,0.0420573948458235,"7","ADAM28"
"ADCY3",3.07391543127665e-06,3.57567564787156,0.062,0.004,0.042155676224528,"7","ADCY3"
"ATP1B1",3.10282967945981e-06,3.58975459437501,0.062,0.004,0.0425522062241118,"7","ATP1B1"
